Name,Industry,Description,Short Description,Tags,Business Model,Customer Model,Website,Raised,Year Raised,Stage,Investors,PDF URL
Fyre Festival,Events,,"Fyre Festival was a failed musical festival organized by Fyre Media. It was promoted as a luxury experience on an island in the Bahamas, but due to poor planning and execution, it became a disaster.","Events, Entertainment",Other,B2C,fyrefestival.com,$25M,2017,Early Stage,Angel Investors,./BestPitchPDFs/fyrefestival.pdf
Talkable,Marketing,"Great referral marketing programs ✅ for online stores, local business & b2b services. Customer loyalty program for a growth marketing. Easy to launch, test and optimize! Reward your customers!",Talkable is a customer referral marketing platform that manages the entire experience. The software is designed to engage the right users at the right time.,"Marketing, Advertising, Retail",SaaS,B2B2C,talkable.com,$1.2M,2012,Early Stage,VC,./BestPitchPDFs/talkable.pdf
Uber,Ride Sharing,"Uber Technologies, Inc. develops and operates proprietary technology applications around the world to connect consumers with independent providers of ride services for ridesharing services and other forms of transportation services, including public transit, as well as connect riders and other consumers with restaurants, grocers, other stores, and delivery service providers for meal preparation, grocery, and other delivery services.","Uber allows you to request a ride from your phone at the touch of a button. The app uses GPS to locate both riders and drivers, and matches them in real time.","Ride Sharing, Transportation, Travel, Logistics",App,B2C,uber.com,$200K,2008,Early Stage,"VC, Angel Investors, Corporate",./BestPitchPDFs/uber.pdf
Rocket Internet,Venture Capital,"Rocket Internet SE is an incubator, private equity, and venture capital firm specializing in incubation, early-stage, growth capital, late venture, later stage, and start-ups. The firm seeks to make investments in Internet companies with a focus on online and mobile retail services. It prefers to invest in technology and Internet-based companies with a focus on financial technology, software, food and groceries which includes individualized fresh food at home and online food delivery, fashion which includes emerging markets online fashion, general merchandise which includes emerging markets online retail as well as marketplaces for online merchandise, home and living which includes international home and living ecommerce, travel including online and mobile travel bookings, mobile data services, package holidays with transfer, regional internet groups, and new businesses and investments. The firm's target regions include Europe, Africa and Middle East, Russia and CIS, Asia and Pacific (excluding China), Latin America. It was formerly known as Rocket Internet AG. Rocket Internet SE was founded in 2007 and is based in Berlin, Germany with additional offices across Africa, Asia, Europe, North America, and South America.","Rocket Internet is an international, internet-based conglomerate company that invests and incubates new technology companies.","Venture Capital, IT",Marketplace,B2B,rocket-internet.com,€100M,2014,Late Stage,"VC, Corporate",./BestPitchPDFs/rocketinternet.pdf
Paddle,Software,"Paddle is a revenue delivery platform, which allows B2B SaaS businesses to amalgamate their workflow and become more efficient at selling digital products and subscriptions. The UK-based company is on a mission to take away the pain of payments fragmentation in a unique way, by serving as the merchant of record for software & SaaS companies.
Paddle handles all payment routing, tax collection, compliance, invoicing, subscription management, renewals, reporting, and fraud protection. The startup was founded in 2012 by CEO Christian Owens and co-founder Harrison Rose, who wanted to make it easier for software companies to sell their products.
Used by over 2,000 software sellers in 245 countries and territories globally, Paddle raised a £52 million ($68 million) Series C in 2021 from investors including FTV Capital, Kindred Capital, Notion Capital, and 83North.","Paddle is a U.K. startup that offers software companies a single platform for the entire software sales process — including trials and licenses, payments, and analytics",SaaS,SaaS,B2B,paddle.com,$68M,2021,Series C,VC,./BestPitchPDFs/paddle.pdf
Sequoia,Venture Capital,"Sequoia is a venture capital focused on energy, financial, enterprise, healthcare, internet, and mobile startups. The firm helps a small number of daring founders build legendary companies. Its spurs them to push the boundaries of what’s possible.
The firm seeks to invest in all sectors with a focus on energy, financials and financial services,healthcare and healthcare services, Internet, mobile, outsourcing, and technology.
The company was founded by Don Valentine in November 1972 and is based in Menlo Park, California.",Sequoia is a venture capital firm that focuses on early-stage technology companies. They invest in seed and growth rounds.,"Venture Capital, IT",Marketplace,B2B,sequoia.com,$6.8B,2018,Late Stage,VC,./BestPitchPDFs/sequoia.pdf
Coinbase,FinTech,"Coinbase Global, Inc. provides financial infrastructure and technology for the cryptoeconomy. The company provides primary financial account for the cryptoeconomy, a platform to invest, store, spend, earn, and use crypto assets an online marketplace for hedge funds, money managers, and corporations; and a platform with technology and services to developers, merchants, and asset issuers that enables them to build applications that leverage crypto protocols. It serves retail users, institutions, and ecosystem partners. The company was founded in 2012 and is based in Wilmington, Delaware.",Coinbase is a digital currency exchange that allows traders to buy and sell around 50 cryptocurrencies.,"FinTech, Cryptocurrency, Blockchain",Marketplace,B2C,coinbase.com,$600K,2012,Seed,VC,./BestPitchPDFs/coinbase.pdf
Buzzfeed,Media,"BuzzFeed is a news and entertainment company that is redefining online advertising with its social, content-driven publishing technology. BuzzFeed used this pitch deck to raise $3.5 million in Series A funding in 2008. At the time, the company had just five people working in an office in Chinatown writing for an audience of 700k monthly visitors. Today, BuzzFeed is one of the largest online media destinations, with over 600M monthly readers and $200M+ in annual revenues. To-date, BuzzFeed has raised a total of $696.3M in funding over 10 rounds.",BuzzFeed is an internet media company delivering news and entertainment to a global audience.,"Media, Entertainment",Other,B2C,buzzfeed.com,$3.5M,2008,Series A,"VC, Angel Investors, Corporate",./BestPitchPDFs/buzzfeed.pdf
Gusto,FinTech,"Gusto’s people platform helps businesses like yours onboard, pay, insure, and support your hardworking team. Payroll, benefits, and more.","Gusto, formerly ZenPayRoll, transforms the way businesses operate by providing tools to manage payroll, benefits, and HR in one place.","FinTech, Payments, HR",SaaS,B2B,gusto.com,$20M,2014,Series A,"VC, Corporate",./BestPitchPDFs/gusto.pdf
Cedar,FinTech,"Cedar Inc designs and develops application software for healthcare sectors. The Company offers patient relationship management, payment processing, billing information, and other services. Cedar serves patients, clinics, and hospitals in the United States.",Cedar is a payment and engagement solution used by hospitals and medical groups.,"FinTech, Healthcare, Payments",SaaS,B2B2C,cedar.com,$102M,2020,Late Stage,Angel Investors,./BestPitchPDFs/cedar.pdf
Theranos,Biotechnology,"Theranos was a privately-held consumer healthcare technology company that is now arguably the largest biomedical fraud in U.S. history. Its founder, Elizabeth Holmes, was convicted of investor fraud after a series of Wall Street Journal (WSJ) articles that revealed the tests the company claimed to be doing were actually being carried out by traditional machines purchased from other companies. At its peak, it was valued at $10 billion.","Theranos was a consumer healthcare technology company that developed proprietary technologies for detecting, treating, and preventing blood-borne diseases","Biotechnology, Healthcare",E-commerce,"B2G, B2B2C",theranos.com,$28.5M,2006,Series C,"VC, Corporate",./BestPitchPDFs/theranos.pdf
Aircall,IT,"Aircall.io, Inc. develops mobile application software. The Company offers an application platform that allows companies to set up and manage phone support online. Aircall.io operates worldwide.",Aircall is a cloud-based call center software that integrates seamlessly with your existing software and workflows.,"IT, Productivity, Cloud",SaaS,B2B2C,aircall.io,$65M,2020,Late Stage,VC,./BestPitchPDFs/aircall.pdf
Canix,Cannabis,"Canix provides cannabis companies with next-generation enterprise resource planning software: the Y-Combinator graduates have amassed 300 US clients and revenue growing at 12% per month, before recently closing a $2.5 million round to further grow their operations.","Canix was founded to help businesses optimize day-to-day operations, stay compliant with state regulations, and make revenue-based decisions, by leveraging cutting-edge tech and hardware.
Stacey Hronowski, founder of Canix, says she first became involved with the cannabis space as a consultant and was surprised at how much work they were doing just to keep track of their operations. Canix was founded as a response to the gap between compliance regulations and availability of tools to assist cannabis companies.",SaaS,SaaS,B2B,canix.com,$2.5M,2020,Seed,VC,./BestPitchPDFs/canix.pdf
Trym,Cannabis,,"Cannabis farm management software company, Trym, closed a $3.1 million seed round led by 7Thirty Capital, including a handful of cannabis-focused funds such as Welcan Capital, Arcview Collective Fund, and Delta Emerald Ventures, among others. Trym’s cannabis farm management software was specifically designed for commercial cultivators. Trym maximizes yields through crop steering functionality, while improving efficiency through precise environmental monitoring, personalized task management, and plant analytics.",SaaS,SaaS,B2B,trym.com,$3.1M,2020,Seed,VC,./BestPitchPDFs/trym.pdf
WeWork,Proptech,"WeWork Companies Inc. operates as a real estate owners and developers. The Company offers shared office space for a monthly fee that includes Internet, phone service, mail handling, and other amenities. WeWork serves customers worldwide.",WeWork is a commercial real estate company that provides beautiful workspaces and serves communities by providing services.,"Proptech, Collaboration, Real Estate",Marketplace,B2B,wework.com,$335M,2014,Late Stage,Corporate,./BestPitchPDFs/wework.pdf
DocSend,Software,"DocSend, Inc. provides software solutions. The Company offers document sharing and tracking solutions that helps professionals build relationships and close business. DocSend serves customers in the United States.","DocSend is a secure, cloud-based solution that handles the secure, mobile review and approval of confidential business transactions such as documents, contracts, and orders.","Software, Marketing",SaaS,B2B,docsend.com,$1.7M,2013,Seed,VC,./BestPitchPDFs/docsend.pdf
Lola,FinTech,"Dropbox, Inc. provides a collaboration platform worldwide. Its platform allows individuals, teams, and organizations to collaborate and sign up for free through its website or app, as well as upgrade to a paid subscription plan for premium features. As of December 31, 2020, the company had approximately 700 million registered users across 180 countries. The company was formerly known as Evenflow, Inc. and changed its name to Dropbox, Inc. in October 2009. Dropbox, Inc. was incorporated in 2007 and is headquartered in San Francisco, California.",Lola simplifies business travel planning by bringing all of your suppliers and booking channels together in one single platform.,"FinTech, Payments, Analytics, Travel, Software","SaaS, App",B2C,lolaplus.org,$37M,2019,Late Stage,Corporate,./BestPitchPDFs/lola.pdf
Dropbox,Cloud,"Dropbox provides secure file sharing, collaboration, and storage solutions. As of December 31, 2020, the company had approximately 700 million registered users across 180 countries. The company was formerly known as Evenflow, Inc. and changed its name to Dropbox, Inc. in October 2009.","Dropbox provides secure file sharing, team collaboration, and cloud storage solutions for businesses and individuals.","Cloud, IT","SaaS, Subscription","B2B, B2C",dropbox.com,$1.2M,2007,Pre-Seed,"VC, Corporate",./BestPitchPDFs/dropbox.pdf
Mixpanel,Analytics,"Mixpanel is an analytics platform that helps companies measure data and build better products through data. The company has raised over $277M in total funding from leading names such as Y-Combinator, Sequoia Capital, Andreesen-Horowitz, and Bain Capital. Mixpanel was founded by Suhail Doshi and Tim Trefren in 2009 and is based in San Francisco, California. It is backed by Y Combinator,",Mixpanel is an analytics platform that helps companies make fact-based decisions fast and improve their products through data.,"Analytics, Productivity, Marketing, Big Data",SaaS,B2B,mixpanel.com,$65M,2014,Series B,Angel Investors,./BestPitchPDFs/mixpanel.pdf
Intercom,Marketing,"Build better customer relationships through conversational, messenger-based experiences with Intercom.",Intercom is a customer engagement platform that helps you build better relationships with your target audience.,"Marketing, Software, Advertising, Productivity",SaaS,B2B,intercom.com,$600K,2012,Seed,"Corporate, VC, Accelerator",./BestPitchPDFs/intercom.pdf
Wunderlist,Productivity,"Wunderlist is a cloud-based task management application. 6Wunderkinder is a young and innovative software startup that was founded by six friends in Berlin, Germany, on 30 August 2010. 6Wunderkinder designs and develops a cloud-based, cross platform productivity application called, which was first launched in November 2010. Today, Wunderlist is one of the most popular productivity applications and is used by millions of people around the world.","Wunderlist is a simple, yet powerful, note-taking tool that helps you organize and manage your tasks.",Productivity,App,B2C,wunderlist.com,$19M,2013,Series B,"VC, Corporate",./BestPitchPDFs/wunderlist.pdf
Revolut,FinTech,"Revolut Limited designs and develops application software. The Company offers money transfers, vaults, budgeting, cryptocurrency, mobile phone, and medical insurance. Revolut serves customers in the United Kingdom.",Revolut is a financial services company that provides payment solutions to businesses and individuals.,"FinTech, Payments, Retail, Restaurants, Analytics",App,"B2B2C, B2C",revolut.com,$66M,2015,Seed,VC,./BestPitchPDFs/revolut.pdf
Alan,FinTech,,Alan is a platform that uses technology to make health insurance more convenient and affordable.,"FinTech, Healthcare, InsurTech",App,B2B,alan.com,$54m,2020,Series C,VC,./BestPitchPDFs/alan.pdf
Mattermark,Big Data,"Mattermark Inc. designs and develops data processing software. The Company offers data management, tracking, analysis, operational benchmarking, and predictive models designing solutions. Mattermark conducts its business in the United States.",Mattermark helps venture capital firms accurately quantify promising signals from potentially lucrative start-ups.,"Big Data, Analytics, Machine Learning, IT, Software",SaaS,B2B,mattermark.com,$6.5M,2014,Series A,"Corporate, VC",./BestPitchPDFs/mattermark.pdf
Tinder,Social Media,"Tinder anonymously finds people nearby that like each other and connects them if they are both interested. know you've passed on their profile. Only once you've both swiped right on each other will your newfound match be revealed. With 55 billion matches to date, Tinder® is the world’s most popular dating app, making it the place to meet new people. This is Tinder’s original pitch deck, back when the company’s name was still a fledgling startup named Matchbox. In 2012, the now-popular Tinder dating platform was born in the incubator Hatch Labs. Since then, the app has facilitated nearly 20 billion matches and is reportedly valued at $10 billion.",Tinder anonymously finds people nearby that like each other and connects them if they are both interested.,"Social Media, Entertainment",App,B2C,tinder.com,$50M,2016,Seed,VC,./BestPitchPDFs/tinder.pdf
Shopify,Retail,"Shopify Inc., a commerce company, provides a commerce platform and services in Canada, the United States, the United Kingdom, Australia, Latin America, and internationally. The company's platform provides merchants to run their business in various sales channels, including web and mobile storefronts, physical retail locations, pop-up shops, social media storefronts, native mobile apps, buy buttons, and marketplaces and enables to manage products and inventory, process orders and payments, fulfill and ship orders, new buyers and build customer relationships, source products, leverage analytics and reporting, and access financing. It also sells custom themes and apps, and registration of domain names. The company was formerly known as Jaded Pixel Technologies Inc. and changed its name to Shopify Inc. in November 2011. Shopify Inc. was incorporated in 2004 and is headquartered in Ottawa, Canada.","Shopify is a powerful, reliable, and scalable cloud-based ecommerce platform designed for small and medium-sized businesses looking to start their online store today.","Retail, Software",SaaS,B2B,shopify.com,$66M,2016,Late Stage,"VC, Corporate",./BestPitchPDFs/shopify.pdf
Clearbanc,Venture Capital,"Clear Finance Technology Corp., doing business as Clearbanc, provides financial services. The Company provides capital to growing e-commerce brands to scale up their marketing budgets. Clearbanc serves customers in Canada.","Clearco (formerly Clearbanc) is a suite of products, designed to help founders get funding.","Venture Capital, Retail, FinTech, Payments",Other,B2B,clear.co,$70M,2018,Series A,VC,./BestPitchPDFs/clearbanc.pdf
Sonder,Hospitality,Sonder Corp. provides lodging services. The Company offers home rental services for travelers. Sonder serves customers in North America and Europe.,Sonder offers fully furnished apartments in travel-friendly neighborhoods in major cities around the world. The company provides residents with the freedom to live like a local while enjoying the comfort and convenience of having everything they need on hand.,"Hospitality, Travel, Proptech, Real Estate",Marketplace,C2C,sonder.com,$225M,2019,Late Stage,VC,./BestPitchPDFs/sonder.pdf
Sandbox VR,Gaming,"Sandbox VR stands out among VR companies due to its emphasis on full-body, in-person, social, and virtual reality experiences. Sandbox VR customers go to physical, brick-and-mortar locations with up to six of their friends, rather than strapping on a headset and grabbing controllers while standing alone in their living room. There, players are outfitted with full-body motion capture devices, VR-ready backpack computers, haptic vests, and other game-specific items that enhance the immersion.
Sandbox VR has raised multiple funding rounds from investors including Andreessen Horowitz, Alibaba Entrepreneurs Fund, and celebrities such as Justin Timberlake, Katie Perry, Kevin Durant, Orlando Bloom, and more.
Take a look at the pitch deck that Sandbox VR used to raise their $68m series-a round in 2019.","Sandbox VR is a virtual reality startup that offers a premium, fully-immersive virtual reality experience.","Augmented Reality, Entertainment, IT, Gaming, Events",Other,B2C,sandboxvr.com,$68M,2019,Series A,,./BestPitchPDFs/sandboxvr.pdf
Crunchbase,Analytics,"Crunchbase is the leading destination for company insights from early-stage startups to the Fortune 1000. Get insights into your competition. Uncover startup trends, get company funding data. Find new prospects, beat competitors and quotas.",Crunchbase provides a platform for discovering companies and their business information.,"Analytics, Big Data",Marketplace,B2B,crunchbase.com,$30M,2019,Late Stage,VC,./BestPitchPDFs/crunchbase.pdf
Snapchat,Social Media,"Snapchat lets you easily talk with friends, view Live Stories from around the world, and explore news in Discover. Life's more fun when you live in the moment!",Snap helps people stay connected with the world through tailored camera products and supporting services.,"Social Media, Augmented Reality",App,B2C,snapchat.com,$50M,2013,Pre-Seed,"VC, Corporate",./BestPitchPDFs/snapchat.pdf
Heal,Healthcare,"Healthline Networks, Inc. provides an online medical resource website. The Company offers a search for doctors, treatment options, health plans, prescription drugs, and other related services. Healthline Networks serves customers worldwide.",Heal is a health care service that provides digital monitoring and telepsychology services to patients.,Healthcare,App,B2C,healthline.com,$100M,2020,Late Stage,Corporate,./BestPitchPDFs/heal.pdf
SmartRecruiters,HR,"SmartRecruiters, Inc. develops recruiting software. The Company offers web-based application that allows employers to list jobs, manage postings, track applicants, rate employees, and fill positions. SmartRecruiters serves customers throughout the United States.",SmartRecruiters is a recruiting platform that enables you to efficiently manage the entire hiring process.,"HR, Software, Analytics",SaaS,B2B,smartrecruiters.com,$50M,2019,Late Stage,"VC, Corporate",./BestPitchPDFs/smartrecruiters.pdf
AirBnB,Travel & Events,"Airbnb, Inc., together with its subsidiaries, operates a platform for stays and experiences to guests worldwide. The company's marketplace model connects hosts and guests online or through mobile devices to book spaces and experiences. It primarily offers private rooms and luxury villas. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was founded in 2007 and is headquartered in San Francisco, California.",Airbnb is one of the world's largest marketplaces for listing and finding accommodations of local hosts all around the world. It is estimated to be worth about $38 billion.With the help of this pitch deck Airbnb was able to raise $600K in funding in 2008.Airbnb has raised a total of $5.4B in funding over 16 rounds,Travel & Events,"SaaS, E-commerce",,airbnb.com,$600k,2008,Pre-Seed,,./BestPitchPDFs/airbnb.pdf
Gestoos,Software,"Gestoos is an AI platform that enables cameras and sensors to see, understand, and respond to human movement and behavior in any environment or context.",Gestoos develops AI software that enables machines to recognize human behavior faster than ever before.,"Software, AI, IoT, Machine Learning, Retail, Robotics",SaaS,B2B,gestoos.com,€2.5M,2017,Series A,"VC, Corporate",./BestPitchPDFs/gestoos.pdf
Predictive Index,HR,"Predictive Index, LLC provides workforce assessment software solutions. The Company offers scientific assessments, groundbreaking software, top-notch management workshops, and consulting services. Predictive Index serves customers worldwide.",The Predictive Index is a predictive analytics-driven solution that delivers quantifiable business impact to enhance talent strategy alignment and performance.,"HR, Productivity, Software, Collaboration",SaaS,B2B,predictiveindex.com,$50M,2019,Series A,Accelerator,./BestPitchPDFs/predictiveindex.pdf
Beatdapp,Blockchain,Beatdapp accurately tracks and validates streaming play counts,"Beatdapp provides real-time tracking of media for brands and artists, helping them find up missing royalties.","Blockchain, Software, Music, Audio, Analytics",SaaS,B2B,beatdapp.com,$2.4M,2019,Seed,VC,./BestPitchPDFs/beatdapp.pdf
Tesla,Transportation,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. The company operates in two segments, Automotive, and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits. It provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades and purchase financing and leasing services. This segment is also involved in the provision of non-warranty after-sales vehicle services, sale of used vehicles, retail merchandise, and vehicle insurance, as well as sale of products through its subsidiaries to third party customers; services for electric vehicles through its company-owned service locations, and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners. This segment also offers service and repairs to its energy product customers, including under warranty; and various financing options to its solar customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was founded in 2003 and is headquartered in Palo Alto, California.","Tesla Motors specializes in developing a full range of electric vehicles, from performance cars to family sedans.","Transportation, Energy, CleanTech, IoT, Manufacturing",E-commerce,B2C,tesla.com,$192M,2011,Late Stage,Corporate,./BestPitchPDFs/tesla.pdf
Monzo,FinTech,"Monzo Bank Limited provides digital banking services. The Company offers loans, debit and credit cards, accounts checking, savings, and treasury services through mobile application. Monzo Bank serves customers in the United Kingdom.",Monzo is a digital-only bank that caters to users with busy lives. It is perfect for people who want a straightforward banking experience with affordable fees and full transparency.,"FinTech, Payments, Retail","App, Marketplace","B2C, B2B2C",monzo.com,£19.3M,2017,Late Stage,"Accelerator, VC",./BestPitchPDFs/monzo.pdf
SendGrid,Cloud,"SendGrid, Inc. provides cloud computer software and solutions. The Company offers cloud based services that maintains an email infrastructure and provides delivery, scalability, and real-time e-mails. SendGrid serves customers throughout the United States.",SendGrid is the leading cloud-based email marketing provider that helps businesses build relationships and grow revenue.,"Cloud, Productivity, Marketing",SaaS,B2B,sendgrid.com,$750k,2009,Seed,"Accelerator, VC",./BestPitchPDFs/sendgrid.pdf
Cloudian,Big Data,"Cloudian, Inc. designs and develops software. The Company offers data protection, file sync, public and private storage, lifecycle management, and cloud services. Cloudian serves clients worldwide.",Cloudian provides object storage for enterprise customers.,"Big Data, Software, Analytics, Cloud",SaaS,B2B,cloudian.com,$94M,2018,Late Stage,"VC, Corporate",./BestPitchPDFs/cloudian.pdf
Blue Wire,Audio,Digital marketing coaching for consultants. Fill your pipeline. Win new high-value clients. Get our 2021 Web Strategy Planning Template.,Blue Wire is a network of podcasters who cover the local sports scene in cities across the U.S.,"Audio, Media, Entertainment, Sports",Other,B2C,bluewiremedia.com.au,$1.2M,2020,Pre-Seed,VC,./BestPitchPDFs/bluewire.pdf
N26,Accounting,"Netflix, Inc. provides entertainment services. It offers TV series, documentaries, and feature films across various genres and languages. The company provides members the ability to receive streaming content through a host of Internet-connected devices, including TVs, digital video players, television set-top boxes, and mobile devices. It also provides DVDs-by-mail membership services. The company has approximately 204 million paid members in 190 countries. Netflix, Inc. was founded in 1997 and is headquartered in Los Gatos, California.",N26 is an online bank that offers mobile banking to customers within the European Union.,"Accounting, FinTech, Payments",App,B2C,netflix.com,$2M,2014,Seed,"VC, Corporate",./BestPitchPDFs/n26.pdf
Wealthsimple,Venture Capital,"Wealthsimple Financial Inc. provides investment management services. The Company offers financial planning, wealth management, securities, and advisory services. Wealthsimple Financial serves customers worldwide.",Wealthsimple is an online investment manager offering powerful and easy-to-use financial tools to help Canadians become more financially secure for life.,"Venture Capital, FinTech",App,B2C,wealthsimple.com,$1.9M,2014,Seed,Corporate,./BestPitchPDFs/wealthsimple.pdf
OpenDoor,Real Estate,"Opendoor Technologies Inc. operates a digital platform for residential real estate in the United States. Its platform enables consumers to buy and sell a home online. The company was founded in 2014 and is headquartered in San Francisco, California.","Opendoor is an online real-estate marketplace that eliminates the time-consuming open houses, bidding wars, and paperwork to make purchasing and selling a home as easy as buying a book on Amazon.","Real Estate, Proptech",Marketplace,C2C,opendoor.com,$10M,2014,Series A,"VC, Corporate",./BestPitchPDFs/opendoor.pdf
Magic Leap,Augmented Reality,"Magic Leap, Inc. operates as a software developer. The Company develops human computing interfaces and software. Magic Leap serves health care, retail, sports, and entertainment sectors in the United States.",Magic Leap is a next-generation wearable computer that enables users to interact with digital devices in a cinematic way.,"Augmented Reality, GovTech, Healthcare, Manufacturing, Hardware, 3D Technology",E-commerce,"B2G, B2B",magicleap.com,$50M,2014,Series A,"Corporate, VC",./BestPitchPDFs/magicleap.pdf
Peloton,Sports,"Peloton Interactive, Inc. provides interactive fitness products in North America and internationally. It offers connected fitness products, such as the Peloton Bike and the Peloton Tread, which include touchscreen that streams live and on-demand classes. The company also provides connected fitness subscriptions for multiple household users, and access to all live and on-demand classes, as well as Peloton Digital app for connected fitness subscribers to provide access to its classes. As of December 09, 2020, it had approximately 3.6 million members. The company markets and sells its interactive fitness products directly through its retail showrooms and at onepeloton.com. Peloton Interactive, Inc. was founded in 2012 and is headquartered in New York, New York.","Peloton combines real-time and on-demand studio classes taught by elite instructors into a network of fitness content that makes it easy to find, follow, and complete high-intensity workouts and earn bragging rights.","Sports, Hardware, Events, Video","E-commerce, Subscription",B2C,onepeloton.com,$400k,2012,Seed,Corporate,./BestPitchPDFs/peloton.pdf
Youtube,Video,"Youtube, LLC was founded in 2006. The company's line of business includes providing on-line information retrieval services on a contract or fee basis.","YouTube is a video-sharing platform on which users can upload, view, and share videos globally. Users can access and engage in various content online including movie clips, music videos, and amateur videos.","Video, Social Media, Entertainment, Media",Marketplace,B2C,youtube.com,$3.5M,2005,Series A,VC,./BestPitchPDFs/youtube.pdf
BlaBlaCar,Ride Sharing,"BlaBlaCar is the world's leading long distance carpooling service, connecting drivers with empty seats to people travelling the same way",BlaBlaCar is a long distance ride-sharing platform that allows travelers to connect with other travelers and share the trip costs.,"Ride Sharing, CleanTech, Collaboration, Transportation, Travel, Energy",Marketplace,C2C,blablacar.com,€21M,2016,Late Stage,"Corporate, VC",./BestPitchPDFs/blablacar.pdf
Blue Apron,Food,"Blue Apron Holdings, Inc. operates direct-to-consumer platform that delivers original recipes, and fresh and seasonal ingredients. It also operates Blue Apron Market, an e-commerce market that provides cooking tools, utensils, pantry items, and other products. In addition, the company offers Blue Apron Wine, a direct-to-consumer wine delivery service that sells wines, which can be paired with its meals and supplies poultry, beef, and lamb. It serves college graduates, young couples, families, singles, and empty nesters. The company offers its services through order selections on Website or mobile application primarily in the United States. Blue Apron Holdings, Inc. was founded in 2012 and is headquartered in New York, New York.",Blue Apron is a leading online marketplace for the delivery of quality gourmet ingredients and recipe kits.,"Food, Logistics",Subscription,B2C,blueapron.com,$135M,2015,Series D,Corporate,./BestPitchPDFs/blueapron.pdf
TransferWise,FinTech,Banks charge a lot for overseas transfers. We don't. Transfer money abroad easily and quickly with our low cost money transfers.,"Wise, previously known as TransferWise, is a global money transfer service that lets you send money abroad without hidden fees.","FinTech, Payments, Collaboration",App,"B2B, B2C",transferwise.com,$1.3M,2012,Seed,"VC, Angel Investors, Corporate",./BestPitchPDFs/transferwise.pdf
Cloudera,Cloud,"Cloudera, Inc. offers a suite of data analytics and management products in the United States, Europe, and Asia. The company operates through two segments, Subscription and Services. The company offers Cloudera DataFlow, a streaming data platform that collects, curates, and analyzes data Cloudera Data Science Workbench that enables self-service data science for the enterprise; Cloudera Enterprise Data Hub, a solution that allows companies to execute multiple analytic functions against a shared set of governed and secure data; Cloudera Data Warehouse, a data warehouse that provides cloud solution for self-service analytics; Cloudera Operational DB, a solution that enables stream processing and real-time analytics on changing data; Cloudera Data Science and Engineering, which enables users to streamline and scale big data processing; and Hortonworks Data Platform, a data management platform that helps organizations to store, process, and analyze various data assets. Its solutions also include Cloudera SDX, a solution that enables common security, governance, lineage, and metadata management for multiple analytics functions; and Cloudera Workload XM, an analytic workload experience management cloud service. In addition, the company provides consulting, professional, and education services. It serves corporate enterprises and public sector organizations primarily through its direct sales force. The company was incorporated in 2008 and is headquartered in Santa Clara, California.",Cloudera is a data management software for enterprise companies.,"Cloud, AI, Analytics, Big Data, Machine Learning, Open Source, IT",SaaS,B2B,cloudera.com,$5M,2008,Series A,"VC, Corporate",./BestPitchPDFs/cloudera.pdf
Brex,FinTech,"Brex is a fintech company that offers credit cards and cash management solutions for their customers to save and spend money. Brex was founded in 2017 by 22-year-old Henrique Dubugras and Pedro Franceschi, who previously founded Pagar.me, one of Brazil’s largest payment processors. This is the original pitch deck Brex used to close their $57M Series B round in 2019.",Brex is an all-in-one business finance solution for growing companies.,"FinTech, Accounting, Payments",SaaS,B2B,brex.com,$57M,2018,Series B,"VC, Corporate, Accelerator",./BestPitchPDFs/brex.pdf
Trumid,FinTech,"Trumid Financial LLC is a financial technology company offering connectivity and access to credit trading through technology and product design. Trumid seeks to use its product, data and the network effect to create transparency, liquidity and trade execution. Trumid is based in the United States.",Trumid helps to build data products to facilitate pricing and information discovery for the credit community.,"FinTech, IT, Big Data",SaaS,B2B,trumid.com,$53M,2018,Late Stage,"VC, Corporate",./BestPitchPDFs/trumid.pdf
GAIA Design,Retail,"Recibe 10% de bonificación cashback con tu compra, además envío gratis y hasta 12 MSI*",GAIA offers customers an immersive shopping experience. It is a one-stop destination for a curated collection of high-quality furniture and decor items.,Retail,E-commerce,B2C,gaiadesign.com.mx,$15M,2020,Series C,VC,./BestPitchPDFs/gaiadesign.pdf
Bind,InsurTech,"Introduced in 2016 by veteran health insurance innovators, Bind is health insurance designed—finally—like the other useful services of our modern daily lives.","Bind provides personalized, cost-transparent and flexible health plans.","InsurTech, Healthcare, HR",Subscription,"B2C, B2B",yourbind.com,$60M,2018,Series A,VC,./BestPitchPDFs/bind.pdf
